device_id: 66309, type: ext4, source: /dev/nvme0n1p5, target: /, root: /, real_device: /dev/nvme0n1p5
device_id: 66306, type: ext4, source: /dev/nvme0n1p2, target: /boot, root: /, real_device: /dev/nvme0n1p2
device_id: 66308, type: ext4, source: /dev/nvme0n1p4, target: /recovery, root: /, real_device: /dev/nvme0n1p4
device_id: 66305, type: vfat, source: /dev/nvme0n1p1, target: /boot/efi, root: /, real_device: /dev/nvme0n1p1
device_id: 2049, type: ext4, source: /dev/sda1, target: /data, root: /, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /var, root: /var, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /opt, root: /opt, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /home, root: /home, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /root, root: /root, real_device: /dev/sda1
-------------------------------
[2024-11-07 09:52:03.267428727] [DEBUG] [Thread 140405665400064] Scanning /data/home/dxnu...
/
/boot
/recovery
/boot/efi
/data
-------------------------------
[2024-11-07 09:52:04.878940806] [DEBUG] [Thread 140405665400064] Record size: 122817
[2024-11-07 09:52:04.879040163] [DEBUG] [Thread 140405605656320] listening for messages
[2024-11-07 09:53:01.983071125] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/.config/google-chrome/Default/IndexedDB/chrome-extension_gighmmpiobklfepjocnamgkkbiglidom_0.indexeddb.blob/1/13/1393
[2024-11-07 09:53:01.983135061] [WARNING] [Thread 140405605656320] Filtered remove file: /data/home/dxnu/.config/google-chrome/Default/IndexedDB/chrome-extension_gighmmpiobklfepjocnamgkkbiglidom_0.indexeddb.blob/1/13/1393
[2024-11-07 09:53:02.382984036] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/.config/google-chrome/Default/IndexedDB/chrome-extension_gighmmpiobklfepjocnamgkkbiglidom_0.indexeddb.blob/1/13/1394
[2024-11-07 09:53:02.383033267] [WARNING] [Thread 140405605656320] Filtered remove file: /data/home/dxnu/.config/google-chrome/Default/IndexedDB/chrome-extension_gighmmpiobklfepjocnamgkkbiglidom_0.indexeddb.blob/1/13/1394
[2024-11-07 09:53:07.266714180] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-1.txt
[2024-11-07 09:53:07.266830946] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-2.txt
[2024-11-07 09:53:07.266863767] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-3.txt
[2024-11-07 09:53:07.266893594] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-4.txt
[2024-11-07 09:53:07.266923467] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-5.txt
[2024-11-07 09:53:07.266952201] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-6.txt
[2024-11-07 09:53:07.266983123] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-7.txt
[2024-11-07 09:53:07.267011689] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-8.txt
[2024-11-07 09:53:07.267040016] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-9.txt
[2024-11-07 09:53:07.267067787] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-10.txt
[2024-11-07 09:53:07.276291799] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-11.txt
[2024-11-07 09:53:07.276356220] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-12.txt
